Data;Semana;Baia;Animal;Periodo;Horario;Bloco;Tratamento;Enriquecimento;Sexo;Etograma
29/04/2019;1;73;173;manha;09:30;medio;T6;Nenhum;Femea;Calmo
29/04/2019;1;74;328;manha;09:30;medio;T2;Corda;Macho;Calmo
29/04/2019;1;75;426;manha;09:30;medio;T1;Corrente;Macho;Inter. objeto
29/04/2019;1;76;189;manha;09:30;medio;T4;Corrente;Femea;Calmo
29/04/2019;1;77;259;manha;09:30;medio;T3;Nenhum;Macho;Calmo
29/04/2019;1;78;396;manha;09:30;medio;T3;Nenhum;Macho;Calmo
29/04/2019;1;3;350;manha;10:00;pesado;T2;Corda;Macho;Inter. objeto
29/04/2019;1;4;310;manha;10:00;pesado;T1;Corrente;Macho;Calmo
29/04/2019;1;5;482;manha;10:00;pesado;T3;Nenhum;Macho;Calmo
29/04/2019;1;6;201;manha;10:00;pesado;T3;Nenhum;Macho;Calmo
29/04/2019;1;7;24;manha;10:00;pesado;T5;Corda;Femea;Inter. meio amb. 
29/04/2019;1;8;360;manha;10:00;pesado;T2;Corda;Macho;Inter. objeto
29/04/2019;1;9;378;manha;10:00;pesado;T6;Nenhum;Femea;Calmo
29/04/2019;1;10;447;manha;10:00;pesado;T1;Corrente;Macho;Calmo
29/04/2019;1;11;79;manha;10:00;pesado;T6;Nenhum;Femea;Inter. meio amb. 
29/04/2019;1;12;22;manha;10:00;pesado;T4;Corrente;Femea;Calmo
29/04/2019;1;13;59;manha;10:00;pesado;T4;Corrente;Femea;Inter. meio amb. 
29/04/2019;1;14;67;manha;10:00;pesado;T5;Corda;Femea;Calmo
29/04/2019;1;15;450;manha;10:00;leve;T5;Corda;Femea;Inter. objeto
29/04/2019;1;16;431;manha;10:00;leve;T1;Corrente;Macho;Inter. animal 
29/04/2019;1;17;56;manha;10:00;leve;T4;Corrente;Femea;Calmo
29/04/2019;1;18;144;manha;10:00;leve;T5;Corda;Femea;Inter. meio amb. 
29/04/2019;1;19;62;manha;10:00;leve;T4;Corrente;Femea;Calmo
29/04/2019;1;20;423;manha;10:00;leve;T2;Corda;Macho;Inter. meio amb. 
29/04/2019;1;21;265;manha;10:00;leve;T3;Nenhum;Macho;Calmo
29/04/2019;1;22;477;manha;10:00;leve;T1;Corrente;Macho;Inter. objeto
29/04/2019;1;23;289;manha;10:00;leve;T3;Nenhum;Macho;Calmo
29/04/2019;1;24;111;manha;10:00;leve;T6;Nenhum;Femea;Calmo
29/04/2019;1;25;153;manha;10:00;leve;T6;Nenhum;Femea;Calmo
29/04/2019;1;26;370;manha;10:00;leve;T2;Corda;Macho;Inter. objeto
29/04/2019;1;27;392;manha;10:00;medio;T2;Corda;Macho;Inter. objeto
29/04/2019;1;28;414;manha;10:00;medio;T4;Corrente;Femea;Inter. meio amb. 
29/04/2019;1;29;125;manha;10:00;medio;T5;Corda;Femea;Inter. objeto
29/04/2019;1;30;257;manha;10:00;medio;T3;Nenhum;Macho;Calmo
29/04/2019;1;31;334;manha;10:00;medio;T1;Corrente;Macho;Calmo
29/04/2019;1;32;250;manha;10:00;medio;T3;Nenhum;Macho;Inter. meio amb. 
29/04/2019;1;33;282;manha;10:00;medio;T1;Corrente;Macho;Inter. objeto
29/04/2019;1;34;465;manha;10:00;medio;T2;Corda;Macho;Inter. objeto
29/04/2019;1;35;31;manha;10:00;medio;T4;Corrente;Femea;Inter. meio amb. 
29/04/2019;1;36;175;manha;10:00;medio;T5;Corda;Femea;Calmo
29/04/2019;1;37;94;manha;10:00;medio;T6;Nenhum;Femea;Inter. meio amb. 
