"","Parameter","average","lower","mode","higher","Category","Covariate","Time"
"beta[1,6,1]","beta",0.671095668869565,0.513113883847542,0.667826609142894,0.837951574369085,"1","6","1"
"beta[2,6,1]","beta",0.328484812927952,0.148901799900511,0.32962646152211,0.496507450031054,"2","6","1"
"beta[3,6,1]","beta",-0.00574719089949007,-0.182586122860992,-0.000904899291106355,0.15874529319962,"3","6","1"
"beta[4,6,1]","beta",-0.212182577507491,-0.390082026677034,-0.214230210997226,-0.0255964046577578,"4","6","1"
"beta[5,6,1]","beta",-0.250590805871415,-0.439524684088739,-0.250837711299674,-0.0711888205446323,"5","6","1"
"beta[6,6,1]","beta",-0.266167618322209,-0.446613657222944,-0.268636609464279,-0.0749784720862817,"6","6","1"
"beta[7,6,1]","beta",-0.266318917644435,-0.442075773246874,-0.26723603585486,-0.0831436493939839,"7","6","1"
"beta[1,7,1]","beta",0.120093788613684,-0.0552886164875318,0.119456976290274,0.311175773732875,"1","7","1"
"beta[2,7,1]","beta",0.124937013239182,-0.0635893846735671,0.120619807360961,0.302674378609371,"2","7","1"
"beta[3,7,1]","beta",0.00542130087108447,-0.17344538674968,0.00534253704976624,0.175236917232055,"3","7","1"
"beta[4,7,1]","beta",-0.0224963570869699,-0.216429203858695,-0.0198791063490356,0.15950072277943,"4","7","1"
"beta[5,7,1]","beta",-0.0593339095868296,-0.249903928395908,-0.0568174380518694,0.125817460581146,"5","7","1"
"beta[6,7,1]","beta",-0.0819065842529351,-0.264697067206606,-0.0825726907792569,0.106369295353968,"6","7","1"
"beta[7,7,1]","beta",-0.0793138229597738,-0.264648692231662,-0.0812460554297311,0.100746746247774,"7","7","1"
"beta[1,8,1]","beta",0.276323232826059,0.110755834535887,0.274690120986377,0.448620147663205,"1","8","1"
"beta[2,8,1]","beta",0.0304171559620197,-0.157671681692068,0.0294882028818595,0.219466701225195,"2","8","1"
"beta[3,8,1]","beta",-0.0151762797832823,-0.202229126774158,-0.015672613525676,0.162987065592519,"3","8","1"
"beta[4,8,1]","beta",-0.0815001797649872,-0.257895049002388,-0.0812235642432886,0.0947602381905503,"4","8","1"
"beta[5,8,1]","beta",-0.0788418879417008,-0.26394938294539,-0.0818581444205148,0.117796760335174,"5","8","1"
"beta[6,8,1]","beta",-0.0735837207027939,-0.261167245611637,-0.0758447356914757,0.114360665345484,"6","8","1"
"beta[7,8,1]","beta",-0.0774052001112825,-0.261570716752916,-0.0798844330291427,0.112004242776559,"7","8","1"
"beta[1,1,2]","beta",0.123062575005727,-0.052011724930039,0.125352776496303,0.292521551224245,"1","1","2"
"beta[2,1,2]","beta",0.150060838993673,-0.0217439045692284,0.150851463029169,0.330127257927236,"2","1","2"
"beta[3,1,2]","beta",0.0701610992185538,-0.116912025744205,0.0707200529376253,0.248009592560553,"3","1","2"
"beta[4,1,2]","beta",-0.0806691289656004,-0.269482228188934,-0.0784273342133819,0.110338822179016,"4","1","2"
"beta[5,1,2]","beta",-0.0881317512849325,-0.270908420618982,-0.0889231503516097,0.103407604971331,"5","1","2"
"beta[6,1,2]","beta",-0.0830241037151612,-0.275863193540199,-0.0813362254841662,0.105199586141728,"6","1","2"
"beta[7,1,2]","beta",-0.0822233930111446,-0.275705154514582,-0.0794780374377409,0.109962279141436,"7","1","2"
"beta[1,2,2]","beta",0.394597957361219,0.217470500871808,0.394229352543095,0.56065003283121,"1","2","2"
"beta[2,2,2]","beta",-0.0640541047419931,-0.243623736510036,-0.0632327473378042,0.122585511388362,"2","2","2"
"beta[3,2,2]","beta",-0.00827394108222212,-0.192984610853061,-0.0114534906749667,0.17972508939116,"3","2","2"
"beta[4,2,2]","beta",-0.0844969001920637,-0.265122365250179,-0.0870464703206307,0.11280375616091,"4","2","2"
"beta[5,2,2]","beta",-0.0740130626087286,-0.264243029141146,-0.0738375037810075,0.108723801217133,"5","2","2"
"beta[6,2,2]","beta",-0.0798573309971175,-0.260931360795217,-0.0780000552654439,0.110076809226838,"6","2","2"
"beta[7,2,2]","beta",-0.0822469888113364,-0.25741908353987,-0.0847887502435151,0.109562678040462,"7","2","2"
"beta[1,3,2]","beta",0.148243572841776,-0.021538833524143,0.144536833443947,0.332076622757788,"1","3","2"
"beta[2,3,2]","beta",0.0865782536824178,-0.0953066026901726,0.0860717443259786,0.273644586251297,"2","3","2"
"beta[3,3,2]","beta",0.0610431805984899,-0.125730567910159,0.0613359130078385,0.246255972097342,"3","3","2"
"beta[4,3,2]","beta",-0.0605980231770409,-0.243795508499287,-0.0575403844638116,0.126498355014289,"4","3","2"
"beta[5,3,2]","beta",-0.0665932792555902,-0.261805323296555,-0.0666863046478922,0.126767453836122,"5","3","2"
"beta[6,3,2]","beta",-0.0776533251219449,-0.279779609592686,-0.0763089552240017,0.129721953763069,"6","3","2"
"beta[7,3,2]","beta",-0.0771478252348116,-0.268331276094054,-0.0753278121867472,0.108405294827265,"7","3","2"
"beta[1,4,2]","beta",0.146468731729732,-0.0362238705073939,0.143951780965491,0.327494626700457,"1","4","2"
"beta[2,4,2]","beta",0.136326717032706,-0.0443514804613869,0.13892280268953,0.319144255279117,"2","4","2"
"beta[3,4,2]","beta",0.0307012385530685,-0.156128832000867,0.0297629897075453,0.215123348483988,"3","4","2"
"beta[4,4,2]","beta",-0.0825403817562699,-0.270755355969336,-0.0834614468788384,0.107842153620867,"4","4","2"
"beta[5,4,2]","beta",-0.0841710362087554,-0.272274519633137,-0.0848353894450243,0.101323816394499,"5","4","2"
"beta[6,4,2]","beta",-0.0672260041418887,-0.250953508916542,-0.0658130524649599,0.115304874865995,"6","4","2"
"beta[7,4,2]","beta",-0.0810105314628574,-0.262242805960161,-0.0804465679552068,0.111785031990317,"7","4","2"
"beta[1,5,2]","beta",0.676786804411653,0.51535279241743,0.67533865817554,0.848466879443145,"1","5","2"
"beta[2,5,2]","beta",0.328876983060187,0.160152769697059,0.329366303182246,0.513269104121942,"2","5","2"
"beta[3,5,2]","beta",0.0156909908123491,-0.151096720518038,0.0146535827337515,0.187970594094924,"3","5","2"
